,unopt_level,score_tk
0,1.0,3.64
0,1.25,4.56
0,1.5,6.44
0,1.6666666666666667,3.68
0,1.5,6.12
0,1.0,4.68
0,1.0,3.88
0,1.0,3.96
0,1.2,4.72
0,1.25,3.32
0,1.25,3.4
0,1.3333333333333333,2.28
0,1.3333333333333333,2.0
0,1.0,1.8
0,1.4,5.28
0,1.0,1.64
0,1.0,1.84
0,1.0,3.48
0,1.0,3.48
0,1.3333333333333333,3.16
0,1.2,5.72
0,1.0,6.4
0,1.25,3.4
0,1.0,2.72
0,1.3333333333333333,3.96
0,1.3333333333333333,3.2
0,1.25,3.88
0,1.2,3.8
0,1.3333333333333333,3.12
0,1.6666666666666667,3.72
0,1.4,7.0
0,0.8,1.8064516129032258
0,2.3333333333333335,7.935483870967742
0,1.5,5.451612903225806
0,1.3333333333333333,3.903225806451613
0,1.0,3.3225806451612905
0,1.5,2.838709677419355
0,1.5,3.967741935483871
0,1.4,5.387096774193548
0,1.0,2.6774193548387095
0,1.0,2.870967741935484
0,1.25,3.967741935483871
0,1.0,3.967741935483871
0,1.0,2.6774193548387095
0,1.0,2.3548387096774195
0,1.5,5.612903225806452
0,1.4,4.32258064516129
0,1.0,4.096774193548387
0,1.2,4.096774193548387
0,1.1666666666666667,3.7096774193548385
0,1.0,3.6451612903225805
0,1.0,3.6129032258064515
0,1.0,4.516129032258065
0,1.25,4.870967741935484
0,1.0,5.67741935483871
0,1.3333333333333333,2.7419354838709675
0,1.0,1.7096774193548387
0,1.0,4.387096774193548
0,1.0,5.096774193548387
0,1.75,3.870967741935484
0,1.1428571428571428,4.135135135135135
0,0.8888888888888888,5.45945945945946
0,0.7777777777777778,3.189189189189189
0,1.0,4.8108108108108105
0,1.0,4.972972972972973
0,1.25,7.1891891891891895
0,1.1428571428571428,5.081081081081081
0,0.875,3.8378378378378377
0,1.0,4.5675675675675675
0,1.7142857142857142,5.5675675675675675
0,2.0,6.243243243243243
0,0.8888888888888888,5.027027027027027
0,1.125,3.4594594594594597
0,1.0,4.621621621621622
0,0.9,5.837837837837838
0,1.4285714285714286,6.8108108108108105
0,1.3333333333333333,3.5135135135135136
0,1.125,3.675675675675676
0,1.1666666666666667,3.7837837837837838
0,1.125,4.702702702702703
0,1.125,4.135135135135135
0,1.2857142857142858,7.378378378378378
0,1.6666666666666667,5.675675675675675
0,1.0,5.486486486486487
0,1.1,6.27027027027027
0,1.4285714285714286,4.72972972972973
0,0.8888888888888888,5.648648648648648
0,0.8571428571428571,2.675675675675676
0,1.3333333333333333,8.027027027027026
0,1.4285714285714286,5.027027027027027
0,1.125,2.5813953488372094
0,1.0,4.255813953488372
0,1.8571428571428572,6.3023255813953485
0,1.2857142857142858,3.9069767441860463
0,1.5,5.465116279069767
0,1.3333333333333333,4.930232558139535
0,1.4285714285714286,3.9767441860465116
0,1.3333333333333333,4.232558139534884
0,1.0,3.395348837209302
0,0.8888888888888888,3.511627906976744
0,0.7777777777777778,3.9302325581395348
0,1.0,3.372093023255814
0,1.0,5.186046511627907
0,1.375,4.162790697674419
0,1.0,3.1627906976744184
0,1.0,2.953488372093023
0,0.875,4.372093023255814
0,1.8571428571428572,8.55813953488372
0,1.25,5.325581395348837
0,1.5555555555555556,8.209302325581396
0,1.0,2.9767441860465116
0,1.25,4.186046511627907
0,1.0,4.72093023255814
0,1.625,6.953488372093023
0,1.5714285714285714,6.232558139534884
0,1.0,3.8372093023255816
0,1.4285714285714286,2.627906976744186
0,1.2857142857142858,5.744186046511628
0,1.2857142857142858,3.883720930232558
0,1.6666666666666667,4.4186046511627906
0,1.5,10.020408163265307
0,1.6,7.36734693877551
0,1.25,6.26530612244898
0,0.9285714285714286,4.653061224489796
0,1.5,6.081632653061225
0,1.4545454545454546,6.653061224489796
0,1.3636363636363635,5.183673469387755
0,1.25,5.224489795918367
0,1.2727272727272727,4.755102040816326
0,1.5,5.795918367346939
0,1.4166666666666667,6.061224489795919
0,1.0,6.551020408163265
0,1.25,8.0
0,1.25,5.040816326530612
0,1.1818181818181819,5.551020408163265
0,1.2,7.244897959183674
0,1.3,6.877551020408164
0,1.0769230769230769,4.26530612244898
0,1.0769230769230769,4.979591836734694
0,1.1538461538461537,4.163265306122449
0,1.0909090909090908,5.918367346938775
0,1.1666666666666667,4.653061224489796
0,1.1818181818181819,4.551020408163265
0,0.9333333333333333,5.755102040816326
0,1.1818181818181819,6.510204081632653
0,1.2727272727272727,4.591836734693878
0,1.0,3.489795918367347
0,1.2307692307692308,6.775510204081633
0,1.3333333333333333,7.510204081632653
0,1.5454545454545454,8.306122448979592
0,1.4166666666666667,6.381818181818182
0,1.3846153846153846,6.618181818181818
0,1.2,5.709090909090909
0,1.1818181818181819,5.709090909090909
0,1.6363636363636365,6.090909090909091
0,1.0833333333333333,4.490909090909091
0,2.0,5.5636363636363635
0,1.3636363636363635,5.0181818181818185
0,1.4545454545454546,5.872727272727273
0,1.1666666666666667,4.290909090909091
0,0.7142857142857143,4.254545454545455
0,1.0909090909090908,4.709090909090909
0,1.4444444444444444,4.709090909090909
0,1.1666666666666667,4.654545454545454
0,1.0769230769230769,4.418181818181818
0,1.1666666666666667,5.709090909090909
0,1.25,5.0181818181818185
0,1.0714285714285714,6.1454545454545455
0,1.0,5.9818181818181815
0,1.1818181818181819,4.527272727272727
0,1.3333333333333333,6.218181818181818
0,1.1818181818181819,4.1454545454545455
